q,correlation,tracking_error,portfolio
10,0.9469253550627457,0.0028403311196712063,"['AMGN', 'C', 'CAT', 'SRE', 'TEL', 'BAC', 'MSFT', 'YUM', 'HON', 'UPS']"
11,0.950864451881668,0.0022516900956521084,"['YUM', 'COP', 'MO', 'AMGN', 'HON', 'BAC', 'TEL', 'DOW', 'TMO', 'AAPL', 'SYK']"
12,0.9476035890503519,0.002719100871017395,"['ADSK', 'SBUX', 'MMM', 'AMZN', 'AIG', 'VLO', 'EBAY', 'C', 'AEP', 'PG', 'F', 'MCD']"
13,0.9629312384671225,0.0020831200269022026,"['COP', 'PEP', 'BAC', 'DOW', 'SBUX', 'AMZN', 'F', 'TRV', 'TEL', 'TMO', 'MA', 'HON', 'MO']"
14,0.9594794523188183,0.0021565029716211553,"['WFC', 'MO', 'KO', 'DOW', 'ABBV', 'SBUX', 'SPGI', 'LOW', 'TMO', 'PSX', 'QCOM', 'EBAY', 'SRE', 'META']"
15,0.9620491002109354,0.0020120144783065935,"['TEL', 'TJX', 'UPS', 'MRK', 'TMO', 'CMCSA', 'SRE', 'SYK', 'MSFT', 'AIG', 'WFC', 'PNC', 'BRK-B', 'ADSK', 'COP']"
20,0.9713159865911738,0.0018135358397321042,"['TMO', 'OXY', 'UPS', 'CB', 'COST', 'SRE', 'ORCL', 'V', 'UNP', 'MO', 'PNC', 'AMZN', 'MRK', 'SBUX', 'BAC', 'HON', 'STT', 'GM', 'BAX', 'TEL']"
25,0.9796396173828466,0.0015593609530099636,"['GM', 'EBAY', 'SBUX', 'MRK', 'SCHW', 'DOW', 'CTVA', 'PG', 'ORCL', 'GOOGL', 'TGT', 'AMGN', 'HAL', 'PSX', 'SRE', 'TEL', 'MA', 'META', 'BLK', 'MET', 'QCOM', 'MCD', 'V', 'AEP', 'MDT']"
30,0.9805804282940396,0.0013306705891504849,"['MSFT', 'CTVA', 'WFC', 'MA', 'CAT', 'DUK', 'DIS', 'PFE', 'SPGI', 'TRV', 'GILD', 'TEL', 'CSCO', 'TJX', 'GE', 'MCD', 'PEP', 'OXY', 'KMB', 'PG', 'BA', 'COP', 'T', 'SO', 'UPS', 'DOW', 'HD', 'AMD', 'BLK', 'BAC']"
40,0.985442729212611,0.0012292246563564604,"['JCI', 'CTVA', 'DE', 'GILD', 'STT', 'XOM', 'AMD', 'WFC', 'BAC', 'COP', 'GE', 'OXY', 'AEP', 'BA', 'DOW', 'MSFT', 'DIS', 'KO', 'TMO', 'LLY', 'BRK-B', 'EBAY', 'ABT', 'GS', 'HD', 'LOW', 'ABBV', 'UPS', 'INTC', 'ORCL', 'PG', 'AIG', 'UNP', 'CSCO', 'D', 'MCD', 'T', 'V', 'TSLA', 'SPGI']"
50,0.9916439744495379,0.000937357606723668,"['HD', 'CMCSA', 'TSLA', 'DIS', 'CI', 'C', 'MET', 'CTVA', 'DUK', 'MSFT', 'UPS', 'MMM', 'GS', 'AMD', 'BAC', 'PSX', 'GM', 'ORCL', 'HON', 'BLK', 'INTC', 'EBAY', 'EOG', 'TGT', 'RTX', 'UNP', 'D', 'TMO', 'GILD', 'AAPL', 'ABBV', 'TJX', 'GE', 'MA', 'AIG', 'YUM', 'CSCO', 'COST', 'CAT', 'JCI', 'SO', 'SYK', 'COP', 'ABT', 'BKNG', 'CB', 'PEP', 'VZ', 'CVX', 'BRK-B']"
